FILE                                                    	HIERARCH TNG DRS CCF RVC	HIERARCH TNG DRS CCF FWHM	HIERARCH TNG DRS CCF CONTRAST	HIERARCH TNG DRS CCF NOISE	HIERARCH TNG TEL TARG MAG	AIRMASS           	HIERARCH TNG DRS BERV	HIERARCH TNG DRS SPE EXT SN20	HIERARCH TNG DRS SPE EXT SN50	HIERARCH TNG DRS SPE EXT SN68	
HARPN.2015-01-22T03-16-12.014_ccf_K5     	46.1113366033778        	2.11760403219716         	98.4891567907923             	0.115414828880756         	12.17                    	1.186987605233251 	23.9807327611843     	0.                           	0.                           	0.3
HARPN.2015-01-22T03-46-37.071_ccf_K5     	32.8096743769372        	1.68261828825684         	207.14407781473              	0.111282642784239         	12.17                    	1.1623745799755356	23.9197398332722     	0.                           	-0.1                         	0.1
HARPN.2015-01-23T03-05-16.499_ccf_K5     	17.6572060323191        	0.920624899340611        	180.946034074996             	0.127124245350164         	12.17                    	1.1958460478113595	23.6642083171613     	-0.1                         	0.                           	0.1
HARPN.2015-01-23T03-35-41.956_ccf_K5     	19.910413154663         	0.786483588121261        	173.721784022979             	0.133438323537847         	12.17                    	1.1660813364448652	23.6026733456568     	0.                           	0.                           	0.1
HARPN.2015-01-24T03-09-37.418_ccf_K5     	15.0140913750799        	2.23149179522036         	48.247764850887              	0.149904783434885         	12.17                    	1.1854803609847926	23.3086440563448     	0.                           	0.                           	0.1
HARPN.2015-01-24T03-40-02.483_ccf_K5     	26.8082983670884        	0.711776893935782        	129.663343368456             	0.113879485974777         	12.17                    	1.1617904630310842	23.2480091468879     	0.                           	0.                           	0.2
HARPN.2015-01-25T05-28-07.766_ccf_K5     	19.494355490798         	1.52678977968803         	61.2909603046308             	0.110856638304496         	12.17                    	1.2631213152487972	22.6805095856737     	-0.1                         	0.                           	0.
HARPN.2015-01-25T05-58-32.806_ccf_K5     	24.3123025014506        	0.673984513176817        	59.8902620338175             	0.140186555416228         	12.17                    	1.3541874595318524	22.6200032006478     	0.                           	0.                           	0.1
HARPN.2015-01-26T02-51-15.712_ccf_K5     	34.5363823598436        	1.47195150170739         	71.5217739174217             	0.141332450293088         	12.17                    	1.1988544879896066	22.6338587823833     	0.                           	0.                           	0.2
HARPN.2015-01-26T03-21-41.168_ccf_K5     	43.2844502058805        	2.68807353211068         	60.652331455998              	0.120098484987383         	12.17                    	1.1674085503263136	22.5711789596467     	0.                           	0.                           	0.1
HARPN.2015-01-28T02-29-28.993_V1.9_ccf_K5	40.7872937658794        	0.884035273601006        	48.8968547055489             	0.122206117730956         	12.1                     	1.2212152051132428	21.9357983990658     	0.                           	0.                           	0.
HARPN.2015-01-29T04-05-06.608_ccf_K5     	19.1663953800445        	1.24555064117477         	73.0699542006428             	0.139735066170239         	12.17                    	1.165420319977842 	21.363930351547      	0.                           	0.                           	0.1
HARPN.2015-01-29T04-35-31.263_ccf_K5     	25.8623786156235        	0.693042816472768        	58.9297981195894             	0.119062661066902         	12.17                    	1.1945205995384862	21.3132545834393     	0.                           	0.                           	0.1
HARPN.2015-01-30T05-15-57.549_ccf_K5     	10.0665922179463        	1.02286892041324         	63.2655207231336             	0.134939911834823         	12.17                    	1.2824089035768669	20.8403718784595     	0.                           	0.                           	0.
HARPN.2015-01-30T05-46-22.676_ccf_K5     	45.6719729518684        	2.03303576331627         	39.9675753871825             	0.112849695548539         	12.17                    	1.3827940615839616	20.7858067385867     	0.                           	0.                           	0.
HARPN.2015-01-31T03-20-22.536_ccf_K5     	26.0985775763561        	0.720015046986722        	27.4909135970096             	0.103929918677469         	12.17                    	1.1592458122309686	20.6776463880784     	0.1                          	0.1                          	0.
HARPN.2015-01-31T03-50-47.993_ccf_K5     	24.2348578500271        	2.17389326820581         	34.2878527876458             	0.136825676929537         	12.17                    	1.1622550403149705	20.6249112039469     	0.1                          	0.1                          	0.
HARPN.2015-02-01T04-19-07.013_ccf_K5     	22.1805779911297        	3.56771114356935         	29.0806324834928             	0.129898623240319         	12.17                    	1.1888181508418605	20.1685865243129     	0.                           	0.1                          	0.1
HARPN.2015-02-01T04-49-32.470_ccf_K5     	22.8814228271557        	4.08800895809013         	21.421864486046              	0.125240902756558         	12.17                    	1.2384109325300539	20.1073340317429     	0.                           	0.1                          	0.2
HARPN.2015-02-15T03-40-21.202_V1.9_ccf_K5	33.5174444810131        	-0.620327653939277       	102.333742130506             	0.128105748625939         	12.1                     	1.2121428840678834	14.1496581017226     	-0.1                         	0.                           	0.1
HARPN.2015-02-15T04-10-46.660_V1.9_ccf_K5	30.5342595435759        	0.92422140400054         	82.3328174714918             	0.138878017641243         	12.1                     	1.2763833712377317	14.0882139950563     	0.                           	0.                           	0.
HARPN.2015-02-16T03-20-45.434_V1.9_ccf_K5	26.4620633042739        	12.3076538606628         	42.4620958980261             	0.122893718555665         	12.1                     	1.1895870939129445	13.713352307866      	0.                           	0.                           	0.1
HARPN.2015-02-16T03-51-10.146_V1.9_ccf_K5	47.1055764780419        	1.47205355057309         	73.7421844204012             	0.131340984812677         	12.1                     	1.2263740690517937	13.6629156901249     	0.                           	0.                           	0.
HARPN.2015-02-17T01-43-34.498_V1.9_ccf_K5	29.8666379452367        	3.19077656801237         	38.2469771620676             	0.113399473459959         	12.1                     	1.1768723476922578	13.4372307409288     	0.                           	0.                           	0.1
HARPN.2015-02-17T02-13-59.552_V1.9_ccf_K5	14.2789804745382        	1.87724898371106         	71.8199058031063             	0.110833034348527         	12.1                     	1.159161604016005 	13.3735319527351     	0.                           	0.                           	0.
HARPN.2015-02-17T02-44-25.413_V1.9_ccf_K5	40.1689589947317        	2.37345505623969         	47.7448333732511             	0.140471822633174         	12.1                     	1.1624871504693626	13.311868423887      	0.                           	0.                           	0.
HARPN.2015-02-21T04-39-52.203_V1.9_ccf_K5	11.9102380061924        	1.19314455581855         	66.2930465040143             	0.132551915106085         	12.1                     	1.4731046992565349	11.1249308343538     	0.                           	0.                           	0.
HARPN.2015-02-21T05-10-16.855_V1.9_ccf_K5	41.5374592082448        	-0.729992216586907       	54.141486312282              	0.142183390638658         	12.1                     	1.6629137703298718	11.0730645980881     	0.                           	0.                           	0.
HARPN.2015-03-13T23-07-55.945_V1.9_ccf_K5	19.383599860819         	0.858462080868713        	49.7855579103615             	0.147626020141459         	12.1                     	1.275295918649475 	1.02623309722156     	0.                           	0.                           	0.2
HARPN.2015-03-13T23-38-21.071_V1.9_ccf_K5	22.9168195589244        	1.87622585280226         	26.1312768984971             	0.137416930217235         	12.1                     	1.211456552086083 	0.966704374705345    	0.                           	0.                           	0.
HARPN.2015-03-15T23-29-23.826_V1.9_ccf_K5	49.4437373428874        	1.08904007506865         	73.5744258870684             	0.123680672145407         	12.1                     	1.2133195876047138	-0.0677259768132666  	0.                           	0.                           	0.1
HARPN.2015-03-15T23-59-49.279_V1.9_ccf_K5	14.4900217047119        	0.809616019885162        	53.6859155200684             	0.158179851271152         	12.1                     	1.174758053043942 	-0.131108857329746   	0.                           	0.                           	0.
