FILE                                                    	HIERARCH TNG DRS CCF RVC	HIERARCH TNG DRS CCF FWHM	HIERARCH TNG DRS CCF CONTRAST	HIERARCH TNG DRS CCF NOISE	HIERARCH TNG TEL TARG MAG	AIRMASS           	HIERARCH TNG DRS BERV	HIERARCH TNG DRS SPE EXT SN20	HIERARCH TNG DRS SPE EXT SN50	HIERARCH TNG DRS SPE EXT SN68	
HARPN.2015-01-22T03-16-12.014_ccf_K5     	29.9794039448261        	5.72011049904873         	31.979463969851              	0.00531482282328951       	12.17                    	1.186987605233251 	23.9807327611843     	9.4                          	32.1                         	29.9
HARPN.2015-01-22T03-46-37.071_ccf_K5     	29.979531766428         	5.73685317117202         	31.9668989299491             	0.00457086042225371       	12.17                    	1.1623745799755356	23.9197398332722     	11.                          	35.8                         	32.4
HARPN.2015-01-23T03-05-16.499_ccf_K5     	29.9665817424476        	5.7354636917706          	32.0221193822083             	0.0061930028339795        	12.17                    	1.1958460478113595	23.6642083171613     	8.4                          	28.4                         	24.9
HARPN.2015-01-23T03-35-41.956_ccf_K5     	29.9796604402368        	5.7377453151862          	31.8589254536162             	0.00598521421452217       	12.17                    	1.1660813364448652	23.6026733456568     	9.2                          	29.                          	24.1
HARPN.2015-01-24T03-09-37.418_ccf_K5     	29.9683046006537        	5.71185628650233         	31.9550917667181             	0.00627722684320138       	12.17                    	1.1854803609847926	23.3086440563448     	8.1                          	28.3                         	26.6
HARPN.2015-01-24T03-40-02.483_ccf_K5     	29.9662041633283        	5.71539356207894         	31.9889355969718             	0.00435156299837581       	12.17                    	1.1617904630310842	23.2480091468879     	11.5                         	37.                          	32.8
HARPN.2015-01-25T05-28-07.766_ccf_K5     	29.9657592220808        	5.71845518594535         	32.0761656573965             	0.00846848975299458       	12.17                    	1.2631213152487972	22.6805095856737     	6.4                          	22.9                         	20.1
HARPN.2015-01-25T05-58-32.806_ccf_K5     	29.9768043280106        	5.76888062869096         	31.8071965329659             	0.0075386944767683        	12.17                    	1.3541874595318524	22.6200032006478     	6.9                          	25.                          	22.
HARPN.2015-01-26T02-51-15.712_ccf_K5     	29.9642227421067        	5.73063296217406         	31.8407869040603             	0.0102843775445171        	12.17                    	1.1988544879896066	22.6338587823833     	5.4                          	20.1                         	18.6
HARPN.2015-01-26T03-21-41.168_ccf_K5     	29.9622152414583        	5.66904342394192         	32.0596101733662             	0.0104217413356741        	12.17                    	1.1674085503263136	22.5711789596467     	5.3                          	19.6                         	18.1
HARPN.2015-01-28T02-29-28.993_V1.9_ccf_K5	29.9684497966728        	5.75124599390124         	31.8016147595386             	0.00699737692274455       	12.1                     	1.2212152051132428	21.9357983990658     	7.4                          	26.2                         	24.1
HARPN.2015-01-29T04-05-06.608_ccf_K5     	29.9822580387185        	5.73777233180421         	31.9301985351917             	0.00502958314683037       	12.17                    	1.165420319977842 	21.363930351547      	10.8                         	32.7                         	26.7
HARPN.2015-01-29T04-35-31.263_ccf_K5     	29.9693654967444        	5.74798770698153         	31.7840396562349             	0.00694632698273553       	12.17                    	1.1945205995384862	21.3132545834393     	7.9                          	26.1                         	22.3
HARPN.2015-01-30T05-15-57.549_ccf_K5     	30.0254101700382        	5.82463721451877         	31.298518080759              	0.0358369416400021        	12.17                    	1.2824089035768669	20.8403718784595     	1.5                          	7.6                          	7.
HARPN.2015-01-30T05-46-22.676_ccf_K5     	29.9885361593255        	5.7302231508906          	32.1576760400178             	0.0432799477254551        	12.17                    	1.3827940615839616	20.7858067385867     	1.3                          	6.2                          	5.7
HARPN.2015-01-31T03-20-22.536_ccf_K5     	29.9853693680644        	5.73632052224962         	31.7134350305301             	0.00997986979537245       	12.17                    	1.1592458122309686	20.6776463880784     	5.7                          	20.4                         	17.6
HARPN.2015-01-31T03-50-47.993_ccf_K5     	29.9819407218158        	5.79123316790781         	31.3961102824768             	0.00819603457416366       	12.17                    	1.1622550403149705	20.6249112039469     	6.9                          	23.4                         	20.1
HARPN.2015-02-01T04-19-07.013_ccf_K5     	29.975553286466         	5.7290627811381          	31.798153362405              	0.00395503874378987       	12.17                    	1.1888181508418605	20.1685865243129     	13.5                         	39.3                         	30.5
HARPN.2015-02-01T04-49-32.470_ccf_K5     	29.9799900282244        	5.728072611143           	31.9464680439032             	0.00356589626631895       	12.17                    	1.2384109325300539	20.1073340317429     	14.7                         	42.4                         	31.9
HARPN.2015-02-15T03-40-21.202_V1.9_ccf_K5	29.9580251908779        	5.70832933736973         	31.6463051932893             	0.0150694159448562        	12.1                     	1.2121428840678834	14.1496581017226     	3.6                          	14.8                         	13.5
HARPN.2015-02-15T04-10-46.660_V1.9_ccf_K5	29.9714214546027        	5.6914214064812          	31.7383452731436             	0.0154299474728504        	12.1                     	1.2763833712377317	14.0882139950563     	3.6                          	14.5                         	13.2
HARPN.2015-02-16T03-20-45.434_V1.9_ccf_K5	29.9838454096497        	5.7734636356597          	31.8523702451782             	0.00744780689750815       	12.1                     	1.1895870939129445	13.713352307866      	6.8                          	24.6                         	22.3
HARPN.2015-02-16T03-51-10.146_V1.9_ccf_K5	29.9914398040565        	5.70533751994291         	31.553422162218              	0.0184176950506539        	12.1                     	1.2263740690517937	13.6629156901249     	2.9                          	13.                          	11.6
HARPN.2015-02-17T01-43-34.498_V1.9_ccf_K5	29.967912631806         	5.75670653774448         	31.6431634000321             	0.0118264545801984        	12.1                     	1.1768723476922578	13.4372307409288     	4.6                          	17.7                         	16.3
HARPN.2015-02-17T02-13-59.552_V1.9_ccf_K5	29.9765875166763        	5.74733037413154         	31.7275049897468             	0.00748148040264928       	12.1                     	1.159161604016005 	13.3735319527351     	6.9                          	24.4                         	21.5
HARPN.2015-02-17T02-44-25.413_V1.9_ccf_K5	29.9676723329606        	5.74402058564119         	31.8783813759761             	0.0066161073918628        	12.1                     	1.1624871504693626	13.311868423887      	7.8                          	26.7                         	22.9
HARPN.2015-02-21T04-39-52.203_V1.9_ccf_K5	29.9874879313438        	5.73698956161814         	31.7410277794671             	0.00990112797593819       	12.1                     	1.4731046992565349	11.1249308343538     	5.3                          	20.4                         	17.9
