FILE                                                    	HIERARCH TNG DRS CCF RVC	HIERARCH TNG DRS CCF FWHM	HIERARCH TNG DRS CCF CONTRAST	HIERARCH TNG DRS CCF NOISE	HIERARCH TNG TEL TARG MAG	AIRMASS           	HIERARCH TNG DRS BERV	HIERARCH TNG DRS SPE EXT SN20	HIERARCH TNG DRS SPE EXT SN50	HIERARCH TNG DRS SPE EXT SN68	
HARPN.2015-02-21T05-10-16.855_V1.9_ccf_K5	29.9738153726601        	5.76562165066409         	31.6008218053565             	0.0124135856861139        	12.1                     	1.6629137703298718	11.0730645980881     	4.3                          	17.3                         	15.4
HARPN.2015-03-13T23-07-55.945_V1.9_ccf_K5	29.9888846594888        	5.76151262028773         	31.8162312457165             	0.00421022533682812       	12.1                     	1.275295918649475 	1.02623309722156     	11.9                         	37.5                         	31.6
HARPN.2015-03-13T23-38-21.071_V1.9_ccf_K5	29.9817209702723        	5.75580590808443         	31.771199342685              	0.00440269692472162       	12.1                     	1.211456552086083 	0.966704374705345    	11.3                         	36.3                         	31.1
HARPN.2015-03-15T23-29-23.826_V1.9_ccf_K5	29.9819809672968        	5.75049804093158         	31.5761082372738             	0.0123510148921514        	12.1                     	1.2133195876047138	-0.0677259768132666  	4.6                          	17.1                         	14.6
HARPN.2015-03-15T23-59-49.279_V1.9_ccf_K5	29.9983495947037        	5.78145876921552         	31.8155393511783             	0.00895435038401577       	12.1                     	1.174758053043942 	-0.131108857329746   	6.4                          	21.3                         	16.8
HARPN.2015-03-17T23-44-26.278_V1.9_ccf_K5	29.9777853511008        	5.78584440293929         	31.6472366601761             	0.00566916623988363       	12.1                     	1.1820389932183228	-1.14275400222686    	9.                           	30.                          	26.2
HARPN.2015-03-18T00-17-08.858_V1.9_ccf_K5	29.9762398075426        	5.76295830242826         	31.7069383246585             	0.00595034912907261       	12.1                     	1.1599108117002455	-1.21203651729634    	8.6                          	29.                          	26.1
HARPN.2015-03-25T22-27-20.960_ccf_K5     	29.9746192400565        	5.76637085967543         	31.6814873785921             	0.00462470098169922       	12.17                    	1.2589224000004648	-5.14163296077059    	10.7                         	35.3                         	31.3
HARPN.2015-03-26T02-53-24.660_ccf_K5     	29.9695563298954        	5.77207644240304         	31.6928644774633             	0.00605045881726292       	12.17                    	1.6116315107364667	-5.67875011337138    	7.9                          	29.2                         	27.7
HARPN.2015-03-26T22-44-38.930_V1.9_ccf_K5	29.9944835554007        	5.78146912492463         	31.6615339471899             	0.00784367666319162       	12.1                     	1.2158078577717872	-5.68981932610534    	6.5                          	23.7                         	21.7
HARPN.2015-03-26T23-15-05.188_V1.9_ccf_K5	29.9761346595711        	5.76669738108798         	31.7557910935268             	0.004954333033653         	12.1                     	1.1760738910257604	-5.74722442041676    	10.5                         	33.1                         	27.9
HARPN.2015-03-28T01-05-23.222_V1.9_ccf_K5	29.9705189387768        	5.75344972856803         	31.4297766440953             	0.00965247836671001       	12.1                     	1.2230601486797141	-6.48607922131907    	5.4                          	21.1                         	21.4
HARPN.2015-03-28T01-35-51.009_V1.9_ccf_K5	29.9680360864205        	5.7843102792644          	31.3288286438973             	0.00959367180280394       	12.1                     	1.2935224863055281	-6.55055522816958    	5.5                          	21.4                         	21.7
HARPN.2015-03-31T00-37-42.577_V1.9_ccf_K5	29.979883087548         	5.73377245530765         	29.2641685993731             	0.0195963642164094        	12.1                     	1.1975146351836707	-7.93111607433441    	3.4                          	12.5                         	10.1
HARPN.2015-03-31T01-08-07.614_V1.9_ccf_K5	29.9889754072687        	5.66263491036205         	30.2320033133316             	0.0126197284186679        	12.1                     	1.2528732971869367	-7.99408429582961    	4.8                          	16.9                         	13.1
HARPN.2015-04-04T23-28-13.233_V1.9_ccf_K5	29.9800759914696        	5.76163037924939         	31.4268801954077             	0.00334625323479865       	12.1                     	1.158787617960674 	-10.2276206393799    	15.3                         	44.6                         	36.9
HARPN.2015-04-04T23-58-38.691_V1.9_ccf_K5	29.9763317888827        	5.7429412947             	31.4864283297032             	0.00309895870453062       	12.1                     	1.1753195845691864	-10.2929121261723    	15.7                         	47.9                         	42.1
HARPN.2015-04-06T00-09-46.725_V1.9_ccf_K5	29.9730215288969        	5.77070245087518         	31.4931577539334             	0.00420960207457435       	12.1                     	1.1916464896639039	-10.7951323255404    	12.                          	37.6                         	33.
HARPN.2015-04-06T00-40-12.584_V1.9_ccf_K5	29.9727841647339        	5.73864096612043         	31.477794809774              	0.00410477914109168       	12.1                     	1.2431819103028492	-10.8577211161576    	12.                          	38.7                         	34.9
HARPN.2015-04-06T01-45-02.694_ccf_K5     	29.9592634020759        	5.81660618981493         	30.9853330640342             	0.0182445872768446        	12.17                    	1.3578946214862337	-10.9837969784845    	3.1                          	13.1                         	9.6
HARPN.2015-04-09T00-27-59.582_V1.9_ccf_K5	29.9792226155509        	5.73431910202063         	31.9352697878375             	0.00306486940832891       	12.1                     	1.242397944600299 	-12.250607956713     	16.8                         	47.                          	35.9
HARPN.2015-04-09T00-58-25.026_V1.9_ccf_K5	29.9839753719428        	5.75046428595557         	31.8635116523776             	0.00302504735899305       	12.1                     	1.3230182540687783	-12.3096910011305    	17.                          	47.8                         	36.1
HARPN.2015-04-10T00-28-12.948_V1.9_ccf_K5	29.9816517449125        	5.73280048993682         	31.907306532363              	0.00305971740652726       	12.1                     	1.2514575617696362	-12.7158055597977    	17.4                         	46.2                         	33.8
HARPN.2015-04-10T00-58-37.601_V1.9_ccf_K5	29.9821812197895        	5.73839467610563         	31.888650659916              	0.00324713898179247       	12.1                     	1.3366285285683623	-12.7759114794909    	16.5                         	43.9                         	31.7
HARPN.2015-04-11T01-06-29.394_V1.9_ccf_K5	29.9850503537552        	5.73692188188619         	31.9152510170681             	0.00502461519143614       	12.1                     	1.3796723622616716	-13.2525323757318    	10.5                         	32.2                         	26.3
HARPN.2015-04-11T01-36-53.308_V1.9_ccf_K5	29.9736216210471        	5.74959643276574         	31.745075850649              	0.00657976264054594       	12.1                     	1.5255009224724616	-13.3054302264871    	8.                           	26.7                         	22.7
HARPN.2015-04-11T20-26-49.093_V1.9_ccf_K5	29.9822554137879        	5.73724898314404         	31.830309753742              	0.00522495422939786       	12.1                     	1.4432583956466216	-13.1550530913685    	9.9                          	31.5                         	26.5
HARPN.2015-04-13T02-01-16.838_V1.9_ccf_K5	29.9725970164433        	5.73025364418387         	32.0220305421145             	0.00352516828840966       	12.1                     	1.7574320532219543	-14.2582863917691    	13.2                         	43.9                         	37.6
HARPN.2015-04-13T02-31-42.302_V1.9_ccf_K5	29.9584155752315        	5.74678302842706         	31.7796813557749             	0.00966930869895713       	12.1                     	1.6019588605769635	-14.3033129253467    	5.2                          	21.3                         	18.
HARPN.2015-04-25T01-10-07.216_V1.9_ccf_K5	29.9768014472415        	5.76452584397758         	31.7014112935436             	0.00423145861851043       	12.1                     	1.7230657468195456	-19.2331034962417    	9.8                          	38.6                         	41.3
HARPN.2015-04-25T01-40-32.775_V1.9_ccf_K5	29.986043300744         	5.80009612395555         	31.5114899181562             	0.00552640600828267       	12.1                     	2.042777077765394 	-19.2766184199943    	7.1                          	31.2                         	37.8
HARPN.2015-04-26T22-04-14.593_V1.9_ccf_K5	29.9878798912012        	5.78372155212499         	31.5828788124313             	0.00411205683545811       	12.1                     	1.1593888786880862	-19.6487822396321    	12.1                         	38.7                         	33.8
HARPN.2015-04-26T22-34-39.648_V1.9_ccf_K5	29.9800800078271        	5.77984849221427         	31.6669092650389             	0.00363531556202406       	12.1                     	1.1777036315557792	-19.708471479817     	13.9                         	42.3                         	34.5
HARPN.2015-04-28T00-29-50.724_V1.9_ccf_K5	29.9816723640577        	5.82256807458314         	30.5991644184594             	0.00845792369976888       	12.1                     	1.524564400402469 	-20.3004470098951    	5.9                          	24.2                         	25.8
HARPN.2015-04-28T01-00-16.979_V1.9_ccf_K5	29.9834064797186        	5.79470997981707         	30.9102922889572             	0.00716696672633127       	12.1                     	1.7395764646079437	-20.3460877174829    	6.2                          	26.2                         	28.9
HARPN.2015-05-02T22-41-48.092_V1.9_ccf_K5	29.978991956017         	5.78267658265138         	29.1961120994479             	0.00716246586456739       	12.1                     	1.2193240386132491	-21.8605464363661    	8.8                          	25.7                         	18.
HARPN.2015-05-02T23-12-13.216_V1.9_ccf_K5	29.9792229352233        	5.702913480701           	25.2842209173599             	0.0143705934722677        	12.1                     	1.2876995288071185	-21.9240399577072    	5.7                          	16.5                         	10.9
HARPN.2015-05-04T00-45-21.716_V1.9_ccf_K5	29.9815148163514        	5.7907005933553          	29.6397998071766             	0.00769972570704259       	12.1                     	1.8189749907223551	-22.4157926863478    	7.                           	25.2                         	23.5
HARPN.2015-05-04T01-15-46.770_V1.9_ccf_K5	29.9709385920304        	5.80517966062867         	29.9014795730097             	0.00704412499190798       	12.1                     	2.19392235247681  	-22.4565306676856    	7.2                          	26.7                         	26.8
HARPN.2015-05-04T21-49-06.854_V1.9_ccf_K5	29.9762820050475        	5.76707487692714         	31.5629643329542             	0.00374361350428041       	12.1                     	1.1665710587105749	-22.4220371778773    	13.                          	41.4                         	37.2
HARPN.2015-05-04T22-19-32.353_V1.9_ccf_K5	29.978086159902         	5.78487422702159         	31.4054980539607             	0.00498572171242436       	12.1                     	1.1967762024523847	-22.4835997169241    	10.3                         	33.4                         	30.5
HARPN.2015-05-05T23-13-06.625_V1.9_ccf_K5	29.9707285723167        	5.75682725499474         	31.5160106377141             	0.00518430002395275       	12.1                     	1.3258031074318415	-22.9088886499693    	9.8                          	32.4                         	28.9
HARPN.2015-05-05T23-43-30.977_V1.9_ccf_K5	29.9657606739769        	5.76002667636212         	31.475686340798              	0.00499698466696005       	12.1                     	1.4465441525924594	-22.9648584811442    	9.3                          	33.8                         	34.
HARPN.2015-05-10T22-45-17.581_V1.9_ccf_K5	29.9751026758181        	5.75197769163749         	31.7666446028944             	0.00467757742874583       	12.1                     	1.3005341743062961	-24.3743808650055    	10.2                         	35.5                         	32.6
HARPN.2015-05-10T23-15-43.098_V1.9_ccf_K5	29.9787800879302        	5.72587819216005         	31.8022380071644             	0.00552768003281651       	12.1                     	1.4095224271372737	-24.4287228331498    	8.6                          	31.5                         	29.3
HARPN.2015-05-11T23-09-18.239_V1.9_ccf_K5	29.9739851955958        	5.80334762304939         	30.7203496938945             	0.0248453635465926        	12.1                     	1.3929022976087284	-24.6957016338477    	1.9                          	11.                          	14.1
HARPN.2015-05-13T22-42-27.593_V1.9_ccf_K5	29.9578181033622        	5.77602169098547         	31.2056128303538             	0.0150720670356984        	12.1                     	1.3285522103745953	-25.2012520822307    	3.2                          	15.9                         	20.2
HARPN.2015-05-13T23-12-53.106_V1.9_ccf_K5	29.9944395609427        	5.71817933039823         	31.0548549142934             	0.0177082219892957        	12.1                     	1.4504745059834385	-25.2551824098437    	2.6                          	14.2                         	18.4
HARPN.2015-05-16T22-24-45.392_V1.9_ccf_K5	29.9756583150415        	5.7321644154694          	32.0314956986482             	0.00389877205581859       	12.1                     	1.3097174352535275	-25.9338385580373    	13.9                         	38.8                         	26.2
HARPN.2015-05-16T22-55-10.858_V1.9_ccf_K5	29.984076308196         	5.72432148081316         	32.0489390428849             	0.00396499756525715       	12.1                     	1.4230202894126331	-25.986998238992     	13.                          	38.9                         	29.
HARPN.2015-05-17T22-49-08.124_ccf_K5     	29.9818950357409        	5.74031068624071         	31.9913882848572             	0.00360126922351465       	12.17                    	1.4136251410177845	-26.2160602240841    	12.8                         	43.3                         	38.9
HARPN.2015-05-17T23-19-34.383_ccf_K5     	29.9693170123752        	5.71462683050403         	31.99817503674               	0.00342184703330139       	12.17                    	1.5753868486975937	-26.2642796084587    	13.2                         	45.2                         	40.6
HARPN.2015-05-18T22-17-57.055_ccf_K5     	29.9744004474204        	5.72509550782159         	31.9432022585931             	0.00391924812975812       	12.17                    	1.312820583865523 	-26.3893570032397    	11.8                         	40.3                         	37.7
HARPN.2015-05-18T22-48-21.984_ccf_K5     	29.979272072096         	5.7128073808159          	31.9197877286789             	0.00583437855447806       	12.17                    	1.4275114315256348	-26.4436401176622    	8.3                          	29.8                         	27.7
HARPN.2015-05-29T21-58-19.577_V1.9_ccf_K5	29.9836193958337        	5.727477326464           	31.7470919165982             	0.00406762129764896       	12.1                     	1.3981492045775008	-28.35181147979      	12.1                         	38.1                         	33.
HARPN.2015-05-29T22-28-45.041_V1.9_ccf_K5	29.9611497923577        	5.729014691181           	31.3906743643184             	0.0183726253489402        	12.1                     	1.4261659665316417	-28.3954272210217    	3.                           	12.9                         	10.8
HARPN.2015-05-30T21-26-22.181_V1.9_ccf_K5	29.9803955239993        	5.74961594211468         	31.3950500072766             	0.00639832405789258       	12.1                     	1.2996199933545598	-28.4298011618868    	7.9                          	27.2                         	25.7
HARPN.2015-05-30T21-56-48.039_V1.9_ccf_K5	29.9725121764358        	5.72591759923642         	31.2129068252174             	0.0082990416839691        	12.1                     	1.4082590952899665	-28.482918663821     	6.1                          	22.6                         	21.8
HARPN.2015-06-01T21-13-53.684_V1.9_ccf_K5	29.9820350146159        	5.73681184062365         	31.7705467224471             	0.00330576850534488       	12.1                     	1.286644723048521 	-28.6542196778997    	16.4                         	42.6                         	29.7
HARPN.2015-06-01T21-44-19.140_V1.9_ccf_K5	29.9859389871331        	5.73842579323429         	31.6976525693856             	0.00321159359203694       	12.1                     	1.3889826318829839	-28.704303024197     	16.2                         	44.6                         	33.
HARPN.2015-06-02T21-21-57.928_V1.9_ccf_K5	29.9825931794483        	5.75844377313824         	31.5964496231175             	0.00400837979245432       	12.1                     	1.3222666954339684	-28.7799570063612    	12.5                         	38.5                         	32.7
HARPN.2015-06-02T21-52-22.970_V1.9_ccf_K5	29.9845932902976        	5.73583963673133         	31.5005740600661             	0.00434856825474681       	12.1                     	1.4414479599688819	-28.8267166118698    	11.6                         	36.2                         	31.
HARPN.2015-06-03T21-42-36.515_V1.9_ccf_K5	29.9715567759807        	5.75296744637494         	31.729112000576              	0.00358700838649467       	12.1                     	1.414885825852346 	-28.9155313461797    	14.9                         	40.6                         	29.1
HARPN.2015-06-03T22-13-01.237_V1.9_ccf_K5	29.9783805786298        	5.74616847047934         	31.7043109451677             	0.00333908212120833       	12.1                     	1.5771390764962143	-28.9614252606762    	15.5                         	43.4                         	31.2
HARPN.2015-06-04T21-17-14.547_V1.9_ccf_K5	29.9723650618344        	5.72623369985441         	31.8506314005949             	0.00629355297419906       	12.1                     	1.3325871292809117	-28.9701129857924    	8.4                          	26.9                         	22.3
HARPN.2015-06-04T21-47-39.604_V1.9_ccf_K5	29.9795187131724        	5.74988443796275         	31.7582795249324             	0.00616996200810194       	12.1                     	1.4565023566669348	-29.0175797246637    	8.5                          	27.4                         	23.
HARPN.2015-06-06T21-09-56.716_ccf_K5     	29.9836069565523        	5.71260612093069         	31.9083208240311             	0.00663282087819754       	12.17                    	1.3346273764112306	-29.123259054181     	7.9                          	26.1                         	21.9
HARPN.2015-06-06T21-41-49.439_ccf_K5     	29.9666459450517        	5.738230653207           	31.8413212061056             	0.00756672031051638       	12.17                    	1.466779102171903 	-29.1727258061244    	6.9                          	24.                          	20.1
HARPN.2015-06-07T21-28-27.306_ccf_K5     	29.9789340214735        	5.74164022491413         	31.9547812838099             	0.00312582149750355       	12.17                    	1.422042773747387 	-29.2277197540404    	16.8                         	45.5                         	29.8
HARPN.2015-06-07T21-58-51.659_ccf_K5     	29.9751779269664        	5.72561866159721         	31.9785829252286             	0.0030379296781296        	12.17                    	1.5875274502590395	-29.273635894381     	17.1                         	46.6                         	31.
HARPN.2015-06-08T21-14-54.785_ccf_K5     	29.9692676761249        	5.71544939103249         	31.988652365869              	0.00444855754470281       	12.17                    	1.3815572575773012	-29.2707466690684    	11.5                         	35.2                         	26.9
HARPN.2015-06-08T21-45-19.525_ccf_K5     	29.9744701674633        	5.75472643260657         	31.8756755836271             	0.00516590604637931       	12.17                    	1.5281598315642486	-29.3203260741887    	9.9                          	31.9                         	25.
HARPN.2015-06-11T21-14-25.417_ccf_K5     	29.9743828838551        	5.73657208877486         	31.9201147829257             	0.00347160995708088       	12.17                    	1.4296374011706425	-29.4142152459563    	13.1                         	43.5                         	40.8
HARPN.2015-06-11T21-44-50.475_ccf_K5     	29.9728162557001        	5.75508604283704         	31.8361369380555             	0.00372334578181902       	12.17                    	1.5988155745628434	-29.4598950492601    	11.9                         	41.6                         	40.9
HARPN.2015-06-12T21-11-37.529_ccf_K5     	29.9725286795335        	5.73597199343112         	31.8750747753938             	0.00522719780576845       	12.17                    	1.4349228685340978	-29.4393551745071    	10.                          	30.8                         	24.7
HARPN.2015-06-14T21-15-45.969_ccf_K5     	29.9724548339581        	5.74312799443734         	31.8928355968707             	0.00304532223749659       	12.17                    	1.4948252617710078	-29.4838703938538    	16.                          	47.7                         	37.9
HARPN.2015-06-15T21-17-04.419_ccf_K5     	29.9722450447462        	5.76258762105841         	31.8557401314012             	0.00644404418902198       	12.17                    	1.5239464811330496	-29.4897309178294    	7.3                          	27.1                         	27.1
HARPN.2015-06-15T21-47-29.071_ccf_K5     	29.9825428043009        	5.77004793106263         	31.649580201548              	0.00869770664906323       	12.17                    	1.7385118402256696	-29.5300694400898    	5.8                          	22.4                         	21.6
HARPN.2015-06-16T21-10-57.008_ccf_K5     	29.9813032576247        	5.77995923893732         	31.5994032453207             	0.00748933526323111       	12.17                    	1.511617512812863 	-29.4775096389714    	7.1                          	24.1                         	20.1
HARPN.2015-06-16T21-41-21.747_ccf_K5     	29.9723203192151        	5.70909984260251         	31.8090543441181             	0.00845750333638155       	12.17                    	1.720115493108412 	-29.5154036470287    	6.1                          	22.4                         	19.7
HARPN.2015-06-17T21-12-55.057_ccf_K5     	29.9790201886282        	5.74585941921796         	31.8808514531826             	0.00296655898645487       	12.17                    	1.545775699312057 	-29.465545228411     	16.8                         	48.3                         	37.5
HARPN.2015-06-17T21-43-20.110_ccf_K5     	29.9762437234162        	5.74782971928688         	31.9812696302156             	0.0028447877966166        	12.17                    	1.7710420338553716	-29.5063165966307    	18.2                         	49.2                         	33.2
HARPN.2015-06-18T21-13-30.778_ccf_K5     	29.9812865196938        	5.74822488774647         	31.8483403978603             	0.00343638859024303       	12.17                    	1.5736448663036868	-29.4449497888218    	15.2                         	42.3                         	31.1
HARPN.2015-06-18T21-43-55.430_ccf_K5     	29.9792511936193        	5.72992131549173         	31.9296478110185             	0.00323129871593788       	12.17                    	1.8129768237684036	-29.4838043609644    	16.1                         	44.6                         	31.
HARPN.2015-06-19T21-18-29.190_ccf_K5     	29.9857172607984        	5.74386835883229         	31.8783618786235             	0.00308748127831151       	12.17                    	1.6342015453685237	-29.4195676365168    	15.1                         	48.                          	41.
HARPN.2015-06-19T21-48-53.845_ccf_K5     	29.9779432720985        	5.75835124487102         	31.8457084542166             	0.00320999570104949       	12.17                    	1.9051261840613736	-29.456784418061     	14.4                         	46.9                         	39.8
HARPN.2015-06-29T21-08-01.425_V1.9_ccf_K5	29.9754226896624        	5.76070979690249         	31.1328640937281             	0.00616857410074817       	12.1                     	1.8881565409975216	-28.6369475327818    	8.6                          	28.1                         	22.7
HARPN.2015-06-30T21-11-22.183_V1.9_ccf_K5	29.9782840386724        	5.77461109589502         	30.6733665824906             	0.00823712862712514       	12.1                     	1.970545054424134 	-28.5218106590918    	6.4                          	23.                          	20.9
HARPN.2015-12-23T04-58-08.851_ccf_K5     	29.9756557900889        	5.72821151233285         	31.9954455631386             	0.00327629913491194       	12.17                    	1.2108701950404133	30.0630147481433     	15.9                         	44.4                         	35.9
HARPN.2015-12-23T05-28-34.716_ccf_K5     	29.9726104374124        	5.72645748896807         	31.9980505987631             	0.00352123132218834       	12.17                    	1.1734785471830471	30.0093164161787     	15.4                         	41.7                         	32.8
HARPN.2015-12-24T05-19-47.063_ccf_K5     	29.970603595457         	5.74460250173423         	31.9110778522653             	0.00396560281973345       	12.17                    	1.1778522514979795	29.9459618190093     	12.6                         	38.8                         	36.3
HARPN.2015-12-24T05-50-12.503_ccf_K5     	29.977519697347         	5.73078338764917         	31.8874005242068             	0.00411913900294788       	12.17                    	1.1594132983952323	29.889958696031      	12.3                         	37.7                         	35.2
HARPN.2015-12-25T05-57-58.220_ccf_K5     	29.9838100729082        	5.79206380649497         	31.6232174895196             	0.00758755246782615       	12.17                    	1.1579318877070948	29.7865567535908     	7.4                          	23.9                         	21.6
HARPN.2015-12-25T06-28-22.652_ccf_K5     	29.9767229857735        	5.75902238958451         	31.7514349701521             	0.00934854803666495       	12.17                    	1.1686185035127499	29.7310639277594     	6.3                          	20.9                         	19.2
HARPN.2015-12-28T05-05-33.805_ccf_K5     	29.9745308256545        	5.7476170150495          	31.8474694985932             	0.00441436184763513       	12.17                    	1.176470948281362 	29.5677886273474     	13.                          	34.4                         	26.7
HARPN.2015-12-28T05-35-59.263_ccf_K5     	29.9816980292           	5.76723233557808         	31.8401917730243             	0.0047400301384149        	12.17                    	1.159085577364379 	29.5147403695089     	12.4                         	32.2                         	24.6
HARPN.2015-12-29T05-03-25.668_ccf_K5     	29.9715671050333        	5.77931713385191         	31.7412942216085             	0.00500090297585162       	12.17                    	1.1748112166057416	29.4469134959573     	9.2                          	33.5                         	36.4
HARPN.2015-12-29T05-33-50.720_ccf_K5     	29.9716339639112        	5.74837952835582         	31.8301966124095             	0.00456993016147462       	12.17                    	1.158679158953504 	29.3961017051056     	10.4                         	35.5                         	36.6
HARPN.2016-01-03T04-43-57.085_V1.9_ccf_K5	29.9732374764975        	5.77061624647329         	31.6922993260878             	0.00528499059536867       	12.1                     	1.174638077622222 	28.7415077678092     	9.5                          	31.8                         	32.1
