HARPN.2015-04-25T01-10-07.216_V1.9_ccf_K5 931742.0 965.268 1692.77 41.1433
HARPN.2015-04-25T01-40-32.775_V1.9_ccf_K5 662300.0 813.818 1900.47 43.5944
HARPN.2015-04-26T22-04-14.593_V1.9_ccf_K5 977835.0 988.855 3026.66 55.015
HARPN.2015-04-26T22-34-39.648_V1.9_ccf_K5 1.15589e+06 1075.12 2976.1 54.5537
HARPN.2015-04-28T00-29-50.724_V1.9_ccf_K5 403543.0 635.25 9282.84 96.3475
HARPN.2015-04-28T01-00-16.979_V1.9_ccf_K5 489291.0 699.494 8386.55 91.5781
HARPN.2015-05-02T22-41-48.092_V1.9_ccf_K5 527378.0 726.208 35973.3 189.666
HARPN.2015-05-02T23-12-13.216_V1.9_ccf_K5 273296.0 522.777 48156.2 219.445
HARPN.2015-05-04T00-45-21.716_V1.9_ccf_K5 476518.0 690.303 26397.9 162.474
HARPN.2015-05-04T01-15-46.770_V1.9_ccf_K5 524093.0 723.943 23061.8 151.861
HARPN.2015-05-04T21-49-06.854_V1.9_ccf_K5 1.11012e+06 1053.62 7460.82 86.376
HARPN.2015-05-04T22-19-32.353_V1.9_ccf_K5 760033.0 871.799 8425.82 91.7923
HARPN.2015-05-05T23-13-06.625_V1.9_ccf_K5 716387.0 846.396 6324.13 79.5244
HARPN.2015-05-05T23-43-30.977_V1.9_ccf_K5 753334.0 867.948 6129.65 78.2921
HARPN.2015-05-10T22-45-17.581_V1.9_ccf_K5 809159.0 899.533 2130.75 46.16
HARPN.2015-05-10T23-15-43.098_V1.9_ccf_K5 650614.0 806.607 2216.7 47.0819
HARPN.2015-05-11T23-09-18.239_V1.9_ccf_K5 116542.0 341.382 1908.04 43.6812
HARPN.2015-05-13T22-42-27.593_V1.9_ccf_K5 202128.0 449.587 2253.69 47.4731
HARPN.2015-05-13T23-12-53.106_V1.9_ccf_K5 169072.0 411.184 2139.26 46.2522
HARPN.2015-05-16T22-24-45.392_V1.9_ccf_K5 1.02333e+06 1011.6 1577.56 39.7185
HARPN.2015-05-16T22-55-10.858_V1.9_ccf_K5 999655.0 999.828 1712.49 41.3822
HARPN.2015-05-17T22-49-08.124_ccf_K5 1.1464e+06 1070.7 1357.49 36.8442
HARPN.2015-05-17T23-19-34.383_ccf_K5 1.22776e+06 1108.04 1292.93 35.9574
HARPN.2015-05-18T22-17-57.055_ccf_K5 1.0201e+06 1010.0 1747.18 41.7993
HARPN.2015-05-18T22-48-21.984_ccf_K5 601136.0 775.329 1784.16 42.2393
HARPN.2015-05-29T21-58-19.577_V1.9_ccf_K5 980223.0 990.062 6519.02 80.7404
HARPN.2015-05-29T22-28-45.041_V1.9_ccf_K5 159624.0 399.529 2617.0 51.1566
HARPN.2015-05-30T21-26-22.181_V1.9_ccf_K5 549649.0 741.383 7276.48 85.3023
HARPN.2015-05-30T21-56-48.039_V1.9_ccf_K5 402376.0 634.331 7801.01 88.3233
HARPN.2015-06-01T21-13-53.684_V1.9_ccf_K5 1.3123e+06 1145.56 7681.28 87.6429
HARPN.2015-06-01T21-44-19.140_V1.9_ccf_K5 1.37619e+06 1173.11 8359.68 91.4313
